regime,model,oos_r2_b1,oos_r2_b2,oos_r2_b3,delta_b2_b1,delta_b3_b2
calm,FE,-0.016811708875423825,-0.01691928960170297,-0.01706961748878033,-0.00010758072627914395,-0.00015032788707736167
calm,RF,-0.001588483899259252,-0.0015629324579315984,-0.001794114239101141,2.5551441327653635e-05,-0.0002311817811695427
calm,XGB,-0.001805296156470293,-0.002316683674857156,-0.002198193940529114,-0.0005113875183868632,0.00011848973432804222
stress,FE,0.00045567275551650077,0.00028177343200175287,-6.236222344568887e-05,-0.0001738993235147479,-0.00034413565544744174
stress,RF,0.00027833946851441027,0.0001530435035198563,-0.000288648148484949,-0.00012529596499455398,-0.0004416916520048053
stress,XGB,-0.00021081303629677528,-0.0010084004211667885,-0.0008772248743253996,-0.0007975873848700132,0.00013117554684138888
other,FE,-0.0037139966091819243,-0.003874570810525668,-0.003856958246737374,-0.0001605742013437439,1.761256378829401e-05
other,RF,0.0010939663286070322,0.0012215855594924774,0.0013062755018935501,0.00012761923088544513,8.468994240107275e-05
other,XGB,0.0015224289389873524,0.0027872072343486654,0.0013238472008272328,0.001264778295361313,-0.0014633600335214325
