quintile,model,block,oos_r2,mae,rmse,n_obs
1,FE,B1,-0.003310827638344893,0.031299494839743064,0.04403381994835815,20319
1,FE,B2,-0.003536160231432106,0.03131095271738977,0.04403876442693566,20319
1,FE,B3,-0.0035344335133893345,0.03131580062160463,0.04403872653963033,20319
1,RF,B1,0.002361617350437495,0.031183268334399192,0.04390916592186006,20319
1,RF,B2,0.0037625307702210398,0.03118105832487771,0.04387832581455734,20319
1,RF,B3,0.0041817751021855365,0.031184692013894816,0.04386909223535126,20319
1,XGB,B1,0.0016650402816947851,0.031207503377260776,0.04392449250786454,20319
1,XGB,B2,0.0070836626616640475,0.03120258847297463,0.04380512672041242,20319
1,XGB,B3,0.007726017506281546,0.031191724968433893,0.043790954837679294,20319
2,FE,B1,-0.00762006017199468,0.03617730127876581,0.049922234534319467,20626
2,FE,B2,-0.007851359762647725,0.03619441163903321,0.049927964040058045,20626
2,FE,B3,-0.008448988878350994,0.036213094155317066,0.04994276482525047,20626
2,RF,B1,-0.0019202335563965889,0.036068217486630645,0.04978083618542665,20626
2,RF,B2,-0.0008460998100547901,0.03605237434697659,0.04975414463191277,20626
2,RF,B3,-0.001169076766454058,0.03605912144791484,0.04976217191302806,20626
2,XGB,B1,-0.0034584781889039906,0.036094229287426144,0.04981903570105099,20626
2,XGB,B2,-0.004388094327315795,0.03611634867728371,0.049842106839232354,20626
2,XGB,B3,-0.0023646077372141416,0.03607087558038081,0.04979187442244275,20626
3,FE,B1,-0.007443602582238196,0.03848994344012603,0.053003724354092424,19162
3,FE,B2,-0.007838091256941127,0.03848543572374685,0.05301410077736355,19162
3,FE,B3,-0.008077775082119043,0.03849097162506217,0.05302040430329257,19162
3,RF,B1,-0.0016383054916684348,0.03837142809744529,0.052850789279553195,19162
3,RF,B2,-0.0008723762991669215,0.03838255575769589,0.052830578539003296,19162
3,RF,B3,-0.0011866698754661176,0.03838757238777798,0.052838872807356,19162
3,XGB,B1,-0.003806226010033553,0.0384238467591783,0.05290795281870197,19162
3,XGB,B2,-0.004165132419084783,0.03847151688574925,0.05291741047387963,19162
3,XGB,B3,-0.0028637458061435694,0.03843467386754216,0.052883109175109196,19162
4,FE,B1,-0.007950139309950144,0.03776114173319239,0.052630239343999685,19580
4,FE,B2,-0.008200751365949444,0.037763037877944945,0.052636781806873735,19580
4,FE,B3,-0.008489754406150407,0.037771024149901355,0.052644325492966,19580
4,RF,B1,-0.0008993584846164193,0.037459882167644974,0.052445837607803955,19580
4,RF,B2,-0.0007329203878561064,0.03746542161252931,0.052441476855529925,19580
4,RF,B3,-0.0013910892109341155,0.037483018627587454,0.05245871905431904,19580
4,XGB,B1,-0.0024333852363676023,0.03751966958777152,0.05248601273338775,19580
4,XGB,B2,-0.004380342296599338,0.0375834765347866,0.052536957985464997,19580
4,XGB,B3,-0.003499113772224449,0.03756784099263554,0.05251390535113963,19580
5,FE,B1,-0.009478509917906441,0.03602571780618867,0.04907787558163324,18289
5,FE,B2,-0.009819538994833454,0.03601681375439868,0.049086164796871785,18289
5,FE,B3,-0.009921934200924465,0.036026833686812205,0.04908865339030839,18289
5,RF,B1,-0.0018426658879937552,0.035777814899232,0.04889190710361144,18289
5,RF,B2,-0.0013566762339096705,0.03577225984283313,0.04888004703610055,18289
5,RF,B3,-0.0015257446244154593,0.0357812873074826,0.04888417329913987,18289
5,XGB,B1,-0.005112042965866204,0.03585851438485565,0.04897161816463507,18289
5,XGB,B2,-0.008628193816700325,0.03592155937288026,0.049057201293324054,18289
5,XGB,B3,-0.00728212887880586,0.035882091193102386,0.04902445571610754,18289
