feature,mean_signed_shap,mean_abs_shap
ret_1d_lag,-7.093372740092737e-06,0.0005311575064610924
momentum_1m,7.1586083174494255e-06,0.0004935112306055548
f_sell_5d,3.612480593320103e-05,0.00034826278466416124
ret_5d_lag,-1.0349030244027167e-05,0.00016620797228620286
log_size,-1.227098956950435e-06,0.0001403970639922312
amihud_5d,5.422138864695243e-07,0.0001259794684536398
volatility_1m,-1.7910667431777213e-06,7.8873612868937e-05
f_buy_5d,-2.9444352336324777e-06,6.347860832337594e-05
turnover_5d,-3.4027617854605946e-07,5.3983625966978055e-05
