regime,feature,mean_abs_shap
calm,ret_1d_lag,0.00037002121070102466
calm,ret_5d_lag,0.0002016788280623486
calm,momentum_1m,0.000507330884626078
calm,volatility_1m,9.270774948115633e-05
calm,log_size,0.00017792884311141992
calm,turnover_5d,8.014042061739094e-05
calm,amihud_5d,0.00021406944232304668
calm,f_buy_5d,7.180016301482343e-05
calm,f_sell_5d,0.0006708367698206962
stress,ret_1d_lag,0.0007149250370412125
stress,ret_5d_lag,0.0001485872362653347
stress,momentum_1m,0.00043080560899131027
stress,volatility_1m,5.981548982262361e-05
stress,log_size,0.00017793064499485283
stress,turnover_5d,3.484513328405657e-05
stress,amihud_5d,0.00010083211737968028
stress,f_buy_5d,5.182844886695032e-05
stress,f_sell_5d,0.00010952189166004106
other,ret_1d_lag,0.0005820342739786066
other,ret_5d_lag,0.00014336646824296802
other,momentum_1m,0.0005130851755260139
other,volatility_1m,7.617864988492982e-05
other,log_size,8.758313559654588e-05
other,turnover_5d,4.0273099125748495e-05
other,amihud_5d,5.97631222907539e-05
other,f_buy_5d,6.195249737126046e-05
other,f_sell_5d,0.0001805665180308472
